Ref,Val,Package,PosX,PosY,Rot,Side
"A1","STM32F746NG DISCO","STM32F7_DISCO",173.550000,-101.375000,-90.000000,top
"C1","470n/100V","C_1808_4520Metric_Pad1.72x2.30mm_HandSolder",134.300000,-42.450000,180.000000,top
"C2","100u/63V","CP_Radial_D8.0mm_P3.80mm",141.100000,-38.102651,90.000000,top
"C3","100u/20V","CP_Radial_D8.0mm_P3.80mm",141.600000,-54.847349,-90.000000,top
"C4","470n/120V","C_1808_4520Metric_Pad1.72x2.30mm_HandSolder",134.400000,-53.450000,180.000000,top
"C5","100u/63V","CP_Radial_D8.0mm_P3.80mm",178.300000,-38.602651,90.000000,top
"C6","470n/100V","C_1808_4520Metric_Pad1.72x2.30mm_HandSolder",172.000000,-43.000000,180.000000,top
"C7","470n/120V","C_1808_4520Metric_Pad1.72x2.30mm_HandSolder",177.950000,-56.125000,-90.000000,top
"C8","100u/20V","CP_Radial_D8.0mm_P3.80mm",184.550000,-55.422349,-90.000000,top
"C9","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.500000,-85.500000,-90.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.000000,-100.500000,90.000000,top
"C11","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",59.962500,-84.500000,0.000000,top
"C11X7R1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",71.500000,-85.500000,90.000000,top
"C12","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.000000,-85.500000,90.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",65.000000,-85.500000,90.000000,top
"C14","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",209.900000,-105.237500,90.000000,top
"C15","100u/63V","CP_Radial_D8.0mm_P3.80mm",109.200000,-47.900000,-90.000000,top
"C16","1u","C_1808_4520Metric_Pad1.72x2.30mm_HandSolder",115.500000,-59.600000,-90.000000,top
"C17","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",203.550000,-106.125000,-90.000000,top
"C18","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",205.550000,-77.837500,90.000000,top
"C19","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.450000,-93.950000,90.000000,top
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.550000,-77.875000,90.000000,top
"C21","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",205.550000,-93.875000,90.000000,top
