,,,Qty,Value,Footprint,,Reference,DNP,Exclude from BOM,Exclude from Board,Datasheet
,,,2,470n/100V,Capacitor_SMD:C_1808_4520Metric_Pad1.72x2.30mm_HandSolder,,"C1,C6",,,,~
,,,3,100u/63V,Capacitor_THT:CP_Radial_D8.0mm_P3.80mm,,"C2,C5,C15",,,,~
,,,2,100u/20V,Capacitor_THT:CP_Radial_D8.0mm_P3.80mm,,"C3,C8",,,,~
,,,2,470n/120V,Capacitor_SMD:C_1808_4520Metric_Pad1.72x2.30mm_HandSolder,,"C4,C7",,,,~
,,,10,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,"C9,C12,C18,C19,C20,C21,C22,C23,C24,C25",,,,~
,,,3,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,"C10,C11X7R1,C13",,,,~
,,,2,10nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,"C11,C14",,,,~
,,,1,1u,Capacitor_SMD:C_1808_4520Metric_Pad1.72x2.30mm_HandSolder,,C16,,,,~
,,,1,150nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,C17,,,,~
,,,1,100n,Capacitor_SMD:C_1808_4520Metric_Pad1.72x2.30mm_HandSolder,,C26,,,,~
,,,1,47u,Capacitor_SMD:C_1808_4520Metric_Pad1.72x2.30mm_HandSolder,,C27,,,,~
,,,3,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,"C28,C32,C33",,,,~
,,,1,4.7u/50V,Capacitor_SMD:C_2220_5750Metric_Pad1.97x5.40mm_HandSolder,,C29,,,,~
,,,1,10u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,C30,,,,~
,,,1,100n/50V,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,C31,,,,~
,,,2,SK56,Diode_SMD:D_SMB-SMC_Universal_Handsoldering,,"D1,D2",,,,~
,,,1,SMBJ33A,Diode_SMD:D_SMB_Handsoldering,,D3,,,,~
,,,1,1N4742A,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,,D4,,,,~
,,,3,LED,LED_THT:LED_D5.0mm_Clear,,"D5,D6,D7",,,,~
,,,1,PPTC 1.1A/30V,Fuse:Fuseholder_Blade_Mini_Keystone_3568,,F1,,,,~
,,,1,Fuse,Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,,F2,,,,~
,,,1,Ferrite,Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,,FB1,,,,~
,,,1,DC_Jack_5.5x2.1mm,Connector_BarrelJack:BarrelJack_Horizontal,,J1,,,,~
,,,8,Signal_connector,"Connector_Phoenix_MC:PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",,"J2,J3,J4,J5,J6,J7,J8,J9",,,,~
,,,1,Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,J18,,,,~
,,,8,OUT_Signal_connector,"Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",,"J21,J22,J23,J24,J25,J26,J27,J28",,,,~
,,,1,65uH,Inductor_SMD:L_12x12mm_H4.5mm,,L1,,,,Epcos 871-PID120HS-650M
,,,2,33uH,Inductor_SMD:L_6.3x6.3_H3,,"L2,L3",,,,"Power Inductors - SMD Ind,6.8x6.8x3.8mm,33uH+/-20%,1.35A,"
,,,1,AO4407A,własne:PowerPAK_SO-8_Single,,Q1,,,,~
,,,10,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"R1,R17,RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8",,,,~
,,,2,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"R2,R3",,,,~
,,,1,75K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,R4,,,,~
,,,8,3.3k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"R6,R7,R8,R9,R10,R11,R12,R13",,,,~
,,,1,22k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,R14,,,,~
,,,1,1.5k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,R15,,,,~
,,,1,3k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,R16,,,,~
,,,8,30k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8",,,,~
,,,1,ON/OFF,slide_switches:SLW-1276864-4A-D_FOOTPRINT,,SW1,,,,~
,,,1,5V,TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,,TP1,,,,
,,,1,3.3V,TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,,TP2,,,,~
,,,2,GND,TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,,"TP3,TP4",,,,~
,,,1,LM2596S-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,,U1,,,,http://www.ti.com/lit/ds/symlink/lm2596.pdf
,,,1,LM2596S-3.3,Package_TO_SOT_SMD:TO-263-5_TabPin3,,U2,,,,http://www.ti.com/lit/ds/symlink/lm2596.pdf
,,,1,DAC7568IAPW,własne:dac,,U3,,,,
,,,2,TLV9304xPW,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,,"U5,U6",,,,https://www.ti.com/lit/ds/symlink/tlv9304.pdf
,,,1,ADS8688,Package_SO:TSSOP-38_4.4x9.7mm_P0.5mm,,U7,,,,http://www.ti.com/lit/ds/symlink/ads8688.pdf
,,,1,STM32F746NG DISCO,własne:STM32F7_DISCO,,A1,,Excluded from BOM,,https://www.arduino.cc/en/Main/arduinoBoardUno
